Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Wullschlaegel, Heinrich Rudolph",1805,1864,"[author note: Herbarium and types: BR (incl. orig. Surinam , M; additional material at B (mostly destroyed), DR, GOET (incl. dupl. Surinam), K, P, U, W] [collector note: col. 1944-55; B, BR, GOET, K, M, W, W, DR, M, U, WRSL] Example of Name Published: Chiococca parvifolia Wullschl. ex Griseb., Fl. Brit. W.I. [Grisebach] 337. 1861",173872 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e4f2f190-77b4-4e3a-be8a-db8dcc73d8c2,"Heinrich Rudolph Wullschlaegel; H. R. Wullschlägel; Wullschlägel, Heinrich Rudolph",Wullschlaegel,Wullschl.,H. R. Wullschlaegel,"Wullschlaegel, Heinrich Rudolph","Greenland, Guyana, Jamaica, Nicaragua, Suriname",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Variant name spelling from Hajo Esser (M)",Index Herbariorum - Collectors T-Z,,Search for specimens collected by H. R. Wullschlaegel,[no date] (8),,,"Antigua and Barbuda, Germany, Suriname",,,,,,,,,,,,,,,
"Abbott, J. Richard",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d50433a3-0627-4050-8850-c7522a06e138,J. Richard Abbott,,,R. Abbott,"Abbott, J. Richard",Cuba,,,,,,,"E. Bécquer & R. Abbott  J. B. Nelson, J. R. Abbott, J. E. Cely & N. Hoppman",,,Spermatophytes,,,,,2004,,,,,,,,,
"Acosta, C.",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/faed9089-a9a0-4eba-9f9f-80ed935739e9,,,,C. Acosta,"Acosta, C.",Cuba,,,,,,,"Lyman B. Smith, A. R. Hodgdon, F. González & C. Acosta",,,Spermatophytes,,,1936,,,,,,,,,,,
"Acuña Galé, Julián Baldomero",,,"[author note: Herbarium and types: AMES, F, HAC, U, US] [collector note: AMES, F, HAC, U, US] Example of Name Published: Vaccinium leonis in Contrib. Ocas. Mus. Hist. Nat. Col. 'de la Salle', Habana No. 15. 1956.",103965 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/116db73a-dbab-44a5-8abb-6ecd4fa91106,"Julián Baldomero Acuña y Galé; Galé, Julián Baldomero Acuña; Acuña Galé, Antonio Julián Baldomero; Acuña, Julián Baldomero; J. Acuña",Acuña,,J. B. Acuña Galé,"Acuña Galé, Julián Baldomero","Cuba, Mexico",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Death year from John Pacewicz",Index Herbariorum - Collectors A-D,,Search for specimens collected by J. B. Acuña Galé,"[no date] (5),  1926 (2),  1935 (10),  1936 (12),  1940 (4),  1945 (6),  1950 (3),  1956 (2),  1957 (1)","J. B. Acuna & Bro. Alain  Bro. Alain & J. B. Acuña  J. B. Acuña Galé et al.  J. B. Acuña Galé & A. Alonso  J. B. Acuña Galé & Barreto  J. B. Acuna G. & F. Zayas  J. B. Acuña Galé & Ramos  J. B. Acuna & J. T. Roig y Mesa  J. B. Acuna & Frère Leon  J. B. Acuna Galé & Torres  Bro. Alain, J. B. Acuna & M. López Figueiras  Bro. Alain, J. B. Acuna & J. F. Ramos  J. B. Acuna & Pino  Acuña & F. A. Roig  Acuña & C. Schweinfurth  Acuña & Roig  J. B. Acuña & Bro. Alain  Roig & Acuña  J. B. Acuña G. & G. Valle  J. B. Acuña Galé, A. Alonso & Pino  J. B. Acuña G. & E. Rodriguez  J. B. Acuña Galé, D. S. Correll & F. A. Roig",,"Cuba, Mexico",Phanerogams; Pteridophytes; Bryophytes,,Acuña & F. A. Roig  Acuña & C. Schweinfurth  Acuña & Roig  Acuña & Alain  Roig & Acuña,1900,1973,,,,,,,,,,
"Alain, Brother",1916,2009,"[author note: Herbarium and types: GH, LS, NY]",101226 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/97a44d6c-5c3a-441e-997c-4f07e8187469,"Liogier, Henri Alain; Liogier, Enrique Eugenio; Liogier, Enrique; Liogier, Alain Henri; Liogier Allut, Enrique Eugenio; Liogier (y Allut), Enrique; Hermano Liogier; Alain, Hermano Enrique E.; Alain, Bro. et alia; Brother Alain",Alain,,Br. Alain,"Alain, Brother",,Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; J. de J. Jimenez, Colectores de plantas de la Hispaniola: 108-111 (1985). J. Hoppe, Grandes Explorad. Tierras Española: 113-115 (2001) incl. portr. Obit. in Dallas Star-Telegram 11 November 2009. Obit. in Taxon, 59(2): 669-670 (2010) incl. portr.; Obit. in Revista Jard. Bot. Nac. Univ. Habana, 30-31: V f. (2009-2010)",,,Search for specimens collected by Br. Alain,"[no date] (2),  1940 (1),  1942 (3),  1944 (16),  1946 (5),  1948 (3),  1949 (14),  1950 (10),  1951 (7),  1952 (13),  1953 (37),  1954 (19),  1955 (11),  1956 (5),  1957 (25),  1958 (1),  1959 (1),  1961 (1),  1962 (6),  1963 (46),  1964 (10),  1968 (223),  1969 (316),  1970 (2),  1971 (13),  1972 (6),  1974 (2),  1975 (1),  1981 (1),  1986 (1),  1992 (1),  1994 (1)","J. B. Acuna & Bro. Alain  Bro. Alain & J. B. Acuña  J. L. C. M. Victorin & Br. Alain  Bro. Alain et al.  Bro. Alain & E. P. Killip  Bro. Clemente, Bro. Alain & Bro. Crysógone  J. L. C. M. Victorin, Bro. Clement & Br. Alain  Bro. Alain, M. P. M. Liogier & L. F. Martorell  Bro. Alain, M. P. M. Liogier & J. J. Jiménez  Bro. J. S. S. León, Bro. Alain & Bro. Chrysogone  Bro. Alain & E. J. Marcano F.  Bro. Alain, E. J. Marcano F. & M. J. Skinner  Bro. Clemente & Bro. Alain  Bro. Alain & M. P. M. Liogier  Bro. Alain & Bro. Chrysogone  Bro. Alain & M. P. M. Liogier  Bro. Alain, Bro. Clemente & Bro. Chrysogone  Bro. Alain & L. F. Martorell  Bro. Alain, J. B. Acuna & M. López Figueiras  Bro. Alain, J. B. Acuna & J. F. Ramos  Bro. Alain & C. V. Morton  Bro. Alain & M. Lopez Figueiras  Bro. Léon, J. L. C. M. Victorin, Br. Alain & Bro. Clemente  (Hermano) León & Br. Alain  Alain & Leonard  J. B. Acuña & Bro. Alain  Bro. Alain, J. J. Jiménez & E. J. Marcano F.  R. N. Jervis & Alain  R. N. Jervis & Alain  J. L. C. M. Victorin, (Hermano) León, Br. Alain, & R. Rivas  Bro. Alain, Bro. Clement & Bro. M. Roca  Bro. Alain & G. R. Proctor  C. C. Epling & Bro. Alain  Alain H. Liogier, J. J. Jiménez & L. Ariza-Julia  (Bro.) Alain, M. Lopez F. & C. V. Morton  Bro. León, J. L. C. M. Victorin & Br. Alain  Br. Alain & Bro. Clemente  Br. Alain & J. Oquendo  J. Oquehdo & Br. Alain  Bro. León & Br. Alain  (Hermano) León & Br. Alain  Bro. Alain, M. P. M. Liogier, & E. Solano  A. Liogier, A. Cruz & J. Oquendo  W. S. Judd, A. H. Liogier & M. P. M. Liogier",,"Cuba, Dominican Republic, France, United States of America",,Fl. Española; Fl. Cuba (Leon),Alain & Leonard  Acuña & Alain  R. N. Jervis & Alain  Epling & Alain,,,,,,,,,,,,
"Albert, D.",1954,,[author note: Bignoniaceae],161684 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/421b9be0-a0da-4f15-995d-afda6680b798,D. Albert,D. Albert,D. Albert,D. Albert,"Albert, D.",,Spermatophytes,"Fl. Neotrop. Monogr. 25(2): 160. 1992; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY",,,,,,,Cuba,,,,,,,,,,,,,,,
Aleli Morales Matinez,,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e1b18f26-a3b0-40ef-9c88-73c9a8af851d,,,,Aleli Morales,Aleli Morales Matinez,,,,,,,,,,,,,,,,,Cuba,Spermatophytes,,,,,,,
"Álvarez de Zayas, Alberto",1949,,Example of Name Published: Agave tubulata ssp. brevituba (1984). [author note: Monocotyledons] [collector note: HAJB],118076 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bf199c56-601a-4c71-971d-bcbe308bbe2c,Alberto Álvarez de Zayas,A. Álvarez,A. Álvarez,A. Álvarez Z.,"Álvarez de Zayas, Alberto",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,,,"A. Alvarez, C. Beurton, H. Dietrich, M. A. Díaz D., M. E. Duharte G., J. Gutierrez, K. Köhler, A. Leiva, L. Lepper, R. Rankin & C. A. Sánchez V.  A. Alvarez, J. Bisse, M. A. Díaz D., M. Bässler, H. Dietrich, M. Duarte, G. Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, W. Vent & G. Stohr  A. Alvarez, C. Beurton, J. Gutierrez, K. F. Gunther, D. H. Mai, F. K. Meyer, R. Rankin, C. A. Sanchez V. & C. Schirarend  J. Gutierrez, A. Alvarez, C. Beurton, H. Dietrich, E. Köhler, M. A. Díaz D., M. Duharte G.,, R. Rankin & Carm. Sanchez  A. Alvarez, J. Bisse, M. Bässler, M. A. Díaz D., H. Dietrich, Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, G. Stohr & W. Vent",,Cuba,Phanerogams,,,,,,,,,,,,,,
"Ames, Oakes",1874,1950,"[author note: AMES; Orchidaceae] [collector note: Massachussetts, Florida; AMES, L, A, B, BM, NY, P]",101620 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/84de0307-5bbd-4867-a9ce-1804f7fc0361,Oakes Ames,Ames,Ames,O. Ames,"Ames, Oakes","China, Cuba, Honduras, Panama, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors A-D,,Search for specimens collected by O. Ames,"[no date] (108),  1844 (3),  1846 (1),  1885 (1),  1889 (2),  1892 (1),  1893 (12),  1894 (13),  1895 (3),  1896 (1),  1897 (8),  1898 (19),  1899 (62),  1900 (129),  1901 (46),  1902 (73),  1903 (72),  1904 (138),  1905 (90),  1906 (25),  1907 (15),  1908 (8),  1909 (3),  1910 (3),  1912 (4),  1914 (1),  1915 (17),  1916 (35),  1917 (14),  1918 (9),  1920 (10),  1921 (9),  1922 (14),  1923 (140),  1924 (3),  1927 (1),  1928 (10),  1930 (11),  1932 (1),  1934 (8),  1937 (3),  1938 (8),  1939 (1),  1940 (5),  1941 (29),  1943 (3),  1944 (27),  1946 (1),  1947 (1),  1948 (1),  1990 (1)","O. Ames, B. Ames & R. G. Leavitt  P. Campos Porto, O. Ames & B. Ames  O. Ames & R. G. Leavitt  Rolfe & Ames  Ames & Quisumbing  Ames & C. Schweinfurth  O. Ames, F. T. Hubbard & C. Schweinfurth  Ames & Schlechter  Leonard & Ames  Ames & Rolfe  Ames & Correll  Ames & L. O. Williams  O. Ames & R. E. Schultes  C. H. Lankester & O. Ames  Quisumbing & Ames  Schlechter & Ames  O. Ames, T. Barbour & E. M. East  O. Ames & A. A. Eaton  Blanche & Oakes Ames  Oakes Ames & A. A. E.  O. Ames & J. G. Hall  O. Ames & C. B.  Oakes Ames & F. T. Hubbard  O. Ames & C. Schweinfurth  H. W. Child & O. Ames  O. Ames; B. Ames & A. Ames  J. G. Hall & O. Ames  O. Ames; R. G. Leavitt & A. A. Eaton  O. Ames & F. T. Hubbard  O. Ames & C. Blomberg  O. Ames & B. Ames  A. A. Eaton & O. Ames  J. F. Collins, M. L. Fernald & O. Ames  M. L. Fernald & O. Ames  O. Ames, J. F. Collins & M. L. Fernald  R.G. Leavitt & O. Ames",http://en.wikipedia.org/wiki/Oakes_Ames_%28botanist%29,United States of America,,Orchidaceae (Ames); Enum. Orchids U.S. & Canada; Gen. Epidendrum,"Rolfe & Ames  Ames & Quisumbing  Ames & C. Schweinfurth  Ames, F. T. Hubbard & C. Schweinfurth  Ames & Schlechter  Leonard & Ames  Ames & Rolfe  Ames & Correll  Ames & L. O. Williams  Ames & R. E. Schultes  C. H. Lankester & Ames  Quisumbing & Ames  Schlechter & Ames",,,,,,,,,,,,
"Ansovin, Fernando",,,"[collector note: LS, NY, GH] [Bro. Fernando Ansovin, F. Ansovin. Cuba. 1920.]",138249 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/34aad9f4-64c6-4609-9c81-c329c422637b,Bro. Fernando Ansovin,,,F. Ansovin,"Ansovin, Fernando",Cuba,,,Index Herbariorum - Collectors A-D; Specimen (GH) Tillandsia recurvata,,Search for specimens collected by F. Ansovin,"1920 (2),  1925 (1)",,,,Spermatophytes,,,,,1920,,,,,,,,,
"Antommarchi, Francois [Francesco]",1780,1838,[author note: Herbarium and types unknown],171795 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/907f853d-294d-4430-8f41-0ed332b89fa0,"Francois Antommarchi, Francesco Antommarchi",Antommarchi,Antommarchi,Antommarchi,"Antommarchi, Francois [Francesco]",,Spermatophytes,"Taxon. Lit., ed. 2 (TL2), Suppl. 1",,,,,,,"Cuba, France, Italy",,,,,,,,,,,,,,,
"Areces-Mallea, L. Alberto E.",1947,,[author note: Cactaceae of West Indies] [collector note: MNHN],114548 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/282aa565-56cc-4d3b-b119-a51404bb261d,"Areces Mallea, Alberto E.; Areces, Alberto E.; Areces-Mallea, Alberto E.; Areces-Mallea, Alberto E. et alia; L. Alberto E. Areces-Mallea",Areces,Areces,L. A. E. Areces-M.,"Areces-Mallea, L. Alberto E.","Cuba, Dominican Republic",Spermatophytes,"Brittonia; a Series of Botanical Papers. New York, NY; Authors of Plant Names. Royal Botanic Gardens, Kew","Index Herbariorum, ed. 8",,,,"J. Bisse, H. Lippold, A. E. Areces-Mallea & L. Gonzalez  J. Bisse & A. E. Areces-Mallea  A. E. Areces-Mallea & G. R. Proctor  A. E. Areces-Mallea, R. Berazain, J. Bisse, M. Diaz, L. Gonzalez & H. Lippold  A. E. Areces-Mallea & R. Berazain Iturralder  A. E. Areces-Mallea et al.",,"Cuba, Dominican Republic",Phanerogams,,,,,,,,,,,,,,
"Arias, Ileana",1958,,[author note: Araceae] [collector note: HAJB],138608 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f0e23c2c-88cb-400b-a4ba-2fb01fcaa7aa,"Arias, I.; Arias, Ileana et alia; Ileana Arias Granda",I. Arias,I. Arias,I. Arias,"Arias, Ileana",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,,,"I. Arias, J. Bisse, C. Beurton, Dietrich, J. Gutierrez, E. Köhler, Lepper & Rankin  I. Arias et al.",,Cuba,,,,,,,,,,,,,,,
"Bailey, Liberty Hyde",1858,1954,"[author note: Herbarium and types: BH; additional material at B, BM, BUF, C, CU, F, FLA, HH, IAC, ILL, K, L, LCU, MICH, MIN, MSC, NH, NY, OKLA, PH, TEX, US] [collector note: A, BH, BM, BUF, C, CU (orig.), F, GH, IAC, ILL, K, L, LCU, MIN, MSC, NH, NY, P, PH, US]",100677 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/86267c52-ba02-42e8-87ea-9d58d970488e,"Bailey, L. H.; Liberty Hyde Bailey; Liberty Hyde Bailey, Jr.; L. H. Bailey, Jr.",L. H. Bailey,L. H. Bailey,L. H. Bailey,"Bailey, Liberty Hyde","Bahamas, China, Colombia, Cuba, Haiti, Jamaica, United States of America, Venezuela",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2), Suppl. 1",Index Herbariorum - Collectors A-D,,Search for specimens collected by L. H. Bailey,"[no date] (1),  1879 (1),  1880 (12),  1882 (7),  1883 (22),  1884 (10),  1885 (16),  1886 (47),  1887 (8),  1888 (21),  1890 (1),  1891 (3),  1893 (2),  1895 (1),  1897 (1),  1898 (1),  1910 (1),  1915 (1),  1917 (25),  1922 (3),  1925 (2),  1927 (1),  1929 (3),  1930 (1),  1931 (1),  1932 (2),  1935 (2),  1936 (3),  1937 (5),  1941 (1),  1942 (1),  1945 (11),  1946 (1)","N. L. Britton, W. G. Freeman & L. H. Bailey  J. C. Arthur, E. W. D. Holway & L. H. Bailey  L. H. Bailey & E. Z. Bailey  E. M. East, C. T. Brues & L. H. Bailey  Geo. G. Kennedy & L. H. Bailey  C. A. Weatherby & L. H. Bailey  J. C. Arthur, L. H. Bailey & E. W. D. Holway",http://en.wikipedia.org/wiki/Liberty_Hyde_Bailey,United States of America,Phanerogams,"Stand. Cycl. Hort.; Cycl. Amer. Hort. [L.H.Bailey]; Cycl. Amer. Hort., ed. 2 [L.H.Bailey]; Cycl. Amer. Hort., ed. 3 [L.H.Bailey]; Cycl. Amer. Hort., ed. 4 [L.H.Bailey]; Hortus Second; Prelim. Syn. N. Amer. Carices; Man. Cult. Pl.; Cult. Conif. N. Amer.; Cat. N. Amer. Carices; Cat. N. Amer. Carices Suppl.; Sketch Evol. Fruits; Sketch Evol. Fruits, Ed. 2; Hortus [Bailey]; N. Amer. Carices [Exsicc.]",,,,,,,,,,,,,
