Name,First date flourished,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Author,Geography Collector,Specialty Author,Specialty Collector,Citation as Author,Citation as Collector,Member of teams/groups,Collector Teams:,Author Teams:,Date of birth,Date of death,Author in,Holdings,Collections in,First date collected,Start Date,URL,Last date flourished,Last date collected,Citation as Determiner,End Date,Geography Determiner,Specialty Determiner
"Carrillo, Ernesto",2000,,166812 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fd63944c-f578-4627-80c5-8ef2adacb4f7,Ernesto Carrillo,E. Carrillo,E. Carrillo,E. Carrillo,"Carrillo, Ernesto",Guatemala,,Spermatophytes,,"Anales Inst. Biol. Univ. Nac. Auton. Mexico, Bot. 71(1): 29. 2000",,,,,,,,,,,,,,,,,,
"Castillo Mont, Juan José",1992,"[collector note: AAU, AGUAT, B, CAS, COL, DUKE, F, GH, HNMN, INB, K, M, MEXU, NY, P, PMA, QCNE, RSA, S, SEL, TEFH, TEX, UB, US, VEN]",162080 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/615438bd-ba1c-4695-bb26-28eeb99f8373,Juan José Castillo Mont,Castillo Mont,Cast. Mont,J. J. Castillo Mont,"Castillo Mont, Juan José",Guatemala,Guatemala,Spermatophytes,Phanerogams,"Principes; Journal of the (International) Palm Society. Miami, Fl, Lawrence, KS","Index Herbariorum, ed. 8",,J. J. Castillo & R. Luarca  J. J. Castillo & A. Castillo,,,,,Search for specimens collected by J. J. Castillo Mont,1993 (3),,,,,,,,,
"Castillo, Armín",,"[collector note: Guatemala, 1993; NY; collected with J. J. Castillo Mont]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/379a2dca-42e6-40b5-a8c3-50a034dc686c,"Castillo, A.; A. Castillo",,,Armín Castillo,"Castillo, Armín",,Guatemala,,Spermatophytes,,specimen (GH) Haplophyton cimicidum,,J. J. Castillo & A. Castillo,,,,,,,1992,,,,,,,,
"Collins, Guy N.",,"[author note: Herbarium and types: US (1,071, original), USDA; additional material at BM, F, MIN, NY] [collector note: Guatemala, Mexico, West Indies: US (1093, orig.); Florida: BM (r. 1898), US. Also collected in Africa]",106839 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cdfe78da-e2a4-4195-b44b-a8b22f2c5d4b,"Collins, G. N.; Guy N. Collins",G. N. Collins,G. N. Collins,G. N. Collins,"Collins, Guy N.",United States of America,"Costa Rica, Guatemala, Mexico, United States of America",Spermatophytes,,"Castanea; Journal of the Southern Appalachian Botanical Club. Morgantown. WV; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D; Pl. Collectors N. Mexico. 1979,,"C. F. Baker & G. N. Collins  G. N. Collins, T. H. Kearney & J. H. Kempton  C. L. Pollard & G. N. Collins  G. N. Collins & J. H. Kempton  O. F. Cook & G. N. Collins  C. L. Pollard, G. N. Collins & E. L. Morris  O. F. Cook & G. N. Collins",O. F. Cook & G. N. Collins,1872,1938,,Search for specimens collected by G. N. Collins,1921 (1),,,,,,,,,
"Contreras Jiménez, José Luis",,"[author note: FCME; Caesalpinaceae] [collector note: FCME, K, LL, MEXU]",130392 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67ce5d10-a08f-4f66-babd-080d89a04fbc,"Contreras Jimenez, J. L.; J. L. Contreras; Jose Luis Contreras Jimenez",J. L. Contreras,J. L. Contr.,J. L. Contreras Jiménez,"Contreras Jiménez, José Luis",Mexico,"Guatemala, Mexico",Spermatophytes,Phanerogams,"Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,"R. Casmiro, J. L. Contreras Jiménez, L. Soto & G. Zamudio  W. W. Thomas & J. L. Contreras  G. A. Yatskievych & J. L. R. Contreras J.",Yatskievych & J. L. Contreras,1952,,,,,,,,,,,,,
"Cook, Orator Fuller",,"; vide Underwood, L. M. [author note: Herbarium and types: US (15,000 cryptogams); additional material at BPI, DPU, FH, GH, MO, NY, PH (hepatics), WELC (now at NY)] [collector note: Original coll. from America and Africa: US (incl. 15.000 Crypt.); Colombia (Cauca, 1913): US; Costa Rica: GH, US (orig.); Guatemala: US (orig.); Haiti: US (orig.); Liberia (1892-1895): GH, MO, US (5000, orig.); Mexico: MO, US; District of Columbia, New York: BPI, K (82)]",101390 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/76aecdfc-46fa-4aa8-aab1-3e1f83eb31d8,"Cook, O. F.; Cook, Orator Fuller et alia; Orator Fuller Cook",O. F. Cook,O. F. Cook,O. F. Cook,"Cook, Orator Fuller",United States of America,"Colombia, Costa Rica, Guatemala, Haiti, Liberia, Mexico, United States of America",Fungi and Lichens; Pteridophytes; Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,O. F. Cook & R. D. Martin  O. F. Cook & R. F. Griggs  O. F. Cook & G. B. Gilbert  O. F. Cook et al.  O. F. Cook & G. N. Collins  O. F. Cook & C. B. Doyle  O. F. Cook & Doyle  O. F. Cook & G. N. Collins  L. M. Underwood & O. F. Cook,O. F. Cook & Doyle  O. F. Cook & G. N. Collins,1867,1949,Cent. Ill. Fungi Gen. Syn.; Hepat. Amer.,Search for specimens collected by O. F. Cook,"1887 (7),  1888 (1),  1889 (2),  1892 (1),  1894 (1),  1899 (5),  1904 (2),  1905 (1),  1924 (1),  1926 (1)",,,,,,,,,
"Cutler, Hugh Carson",,"[author note: Herbarium and types: F, GH, MO, TAES, US] [collector note: America: F, TAES, US; Arizona, Texas, Utah: GH, MO; Brazil, Bolivia (1948, 1950), Guatemala (1941): F; Mexico (1940): MO; New Mexico, Texas (1941): F, GH; Ephedra: NY (26)]",119201 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e9a2764e-eff0-48ce-aaa5-4431fbdd54e1,Cutler H. C.; Hugh Carson Cutler,H. C. Cutler,H. C. Cutler,H. C. Cutler,"Cutler, Hugh Carson",United States of America,"Bolivia, Brazil, Guatemala, Mexico, United States of America",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,"Jack Reeves & H. C. Cutler  M. Cárdenas H. & H. C. Cutler  H. C. Cutler & E. S. Anderson  H. C. Cutler & T. W. Whitaker  M. Baker & H. C. Cutler  H. C. Cutler & M. Baker  M. Cardenas H., H. C. Cutler & H. Gandarillas  H. C. Cutler & H. E. Moore",H. C. Cutler & E. S. Anderson  H. C. Cutler & Whitaker,1912,1998,,Search for specimens collected by H. C. Cutler,"[no date] (1),  1838 (1),  1928 (2),  1936 (1),  1937 (20),  1938 (197),  1939 (174),  1940 (39),  1941 (75),  1942 (13),  1943 (4),  1944 (9),  1945 (27),  1946 (34),  1947 (4),  1949 (4),  1950 (2)",,,,,,,,,
"Deam, Charles Clemon",,"[author note: Herbarium and types: IND; additional material at B, BUT, CAS, DUKE, E, F, G, GH, ILL, IND, L, MICH, MIN, MO, NMC, NY, PUR, TAC, US, WELC, WVA] [collector note: Florida: NY; Guatemala: A, CAS, E, F, GH, ILL, IND, L, MICH, MO, NY, PUR, US, WVA; Indiana 1895-1945: A, AMES, B (305), BUT (400), DUKE (200), E, F, GH, IND (orig.), L, MIN, MO, NMC, NY, WELC, US; Mexico: US; Texas 1941: NY, TAC]",101224 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2baf8615-d6b5-4cb2-a42a-8f4285664381,Charles Deam; good ol' Charlie Deam,Deam,Deam,C. C. Deam,"Deam, Charles Clemon",United States of America,"Guatemala, Mexico, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors A-D,,C. C. Deam & H. A. Gleason,,1865,1953,Shrubs Indiana; Fl. Indiana; Trees Indiana; Shrubs Indiana (Ed. 2); Grasses Indiana,Search for specimens collected by C. C. Deam,"[no date] (66),  1897 (1),  1898 (12),  1899 (3),  1900 (5),  1901 (3),  1902 (7),  1903 (19),  1904 (55),  1905 (66),  1906 (2),  1907 (11),  1908 (16),  1909 (62),  1910 (3),  1911 (4),  1912 (5),  1913 (13),  1914 (13),  1915 (59),  1916 (118),  1917 (22),  1918 (15),  1919 (51),  1920 (15),  1921 (3),  1922 (12),  1923 (20),  1924 (4),  1925 (4),  1926 (4),  1927 (10),  1928 (4),  1929 (8),  1930 (22),  1931 (22),  1932 (17),  1933 (26),  1934 (13),  1935 (39),  1936 (6),  1937 (10),  1938 (4),  1939 (1),  1940 (6),  1943 (1),  1945 (2),  1946 (2),  1947 (1),  1948 (5),  1949 (8)",,,,,,,,,
"Debouck, Daniel Gabriel",,"Research: Pl. Genetic Resources, Legume Tax. Name published: Phaseolus talamancensis Debouck & A.M. Torres, Novon 11(2): 280-286, f. 1-5. 2001. [collector note: BR, COL, F, G, K, LPB, MEXU, MICH, MO, QCA, SI, UC, US]",182560 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67d997f9-fcb4-4ecd-a441-1a7d19e9b5c4,D. G. Debouck,Debouck,Debouck,D. G. Debouck,"Debouck, Daniel Gabriel",Belgium,"Argentina, Bolivia, Colombia, Costa Rica, Ecuador, Guatemala, Mexico, Peru",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew",,,"G. F. Freytag & D. G. Debouck  D. G. Debouck, R. Araya-Villalobos & N. Chaves Barrantes  D. G. Debouck, N. Chaves-Barrantes & R. G. Araya-Villalobos  D. G. Debouck & A. J. Morales de Borja","Freytag & Debouck  Debouck & Araya  D. G. Debouck, R. Araya-Villalobos & N. C. Barrantes  D. G. Debouck, N. Chaves-Barrantes & R. G. Araya-Villalobos",1952,,,,,,,,,,,,,
"Deppe, Ferdinand",,"[collector note: Guatemala: OXF, PC; Mexico: B, CGE, HBG, KIEL, LE, PC]",133315 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/96957a5e-b32f-41ea-9020-a677b9ddb673,"Deppe, F.; Ferdinand Deppe",Deppe,Deppe,F. Deppe,"Deppe, Ferdinand",,"Guatemala, Mexico",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,F. Deppe & C. J. W. Schriede  C. J. W. Schiede & F. Deppe,,1794,1861,,,,,,,,,,,,
"Donnell Smith, John",,"[author note: Herbarium and types: US; duplicates: A, B (mostly destroyed), BM, C, COLU, E, F, G, GH, K, L, M, MO, NY, NYS, P, PH, WELC] [collector note: A, B (mostly destroyed), BM, C, COLU, E, F, G, GH, K, L, M, MO, NY, NYS, P, PH, US (orig.), WELC]",102347 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/45c87f68-85a7-40b8-ad6e-9fbc417082ef,"Smith, John Donnell; John Donnell Smith",Donnell Smith,Donn.Sm.,J. Donnell Smith,"Donnell Smith, John",United States of America,"Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, United States of America",Pteridophytes; Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,J. Donnell Smith & C. F. Austin  Rose & Donnell Smith  Mez & Donnell Smith  Donnell Smith & Rose  K. Schumann & Donnell Smith  J. M. Coulter & Donnell Smith  C. C. Mez & J. Donn. Smith  C. F. Austin & J. Donn. Smith,Rose & Donnell Smith  Mez & Donnell Smith  Donnell Smith & Rose  K. Schumann & Donnell Smith  J. M. Coulter & Donnell Smith  Mez & Donn. Smith,1829,1928,Enum. Pl. Guatem.,Search for specimens collected by J. Donnell Smith,"[no date] (60),  1876 (16),  1877 (32),  1878 (25),  1879 (3),  1880 (10),  1881 (116),  1882 (64),  1883 (67),  1884 (65),  1885 (20),  1886 (3),  1887 (3),  1889 (34),  1890 (58),  1892 (58),  1893 (2),  1894 (39),  1895 (1),  1896 (61),  1897 (2),  1920 (1),  1923 (1),  1925 (2),  1982 (1)",,,,,,,,,
"Doyle, Conrad Bartling",,"[author note: Herbarium and types: GH (Costa Rica), US (Colombia); travelled in Central America] [collector note: Colombia 1905-1913: US; Costa Rica: GH]",127384 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/669f266d-88ca-4856-b2a9-db3d76c8aa74,"Conrad Bartling Doyle; Doyle, C. B.",Doyle,Doyle,C. B. Doyle,"Doyle, Conrad Bartling",United States of America,"Colombia, Costa Rica, Guatemala",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors A-D,,O. F. Cook & C. B. Doyle  O. F. Cook & Doyle,O. F. Cook & Doyle,1884,1973,,,,,,,,,,,,
"Egler, Frank Edwin",,"[author note: BISH, NY] [collector note: Connecticut, Hawaii; BISH, NY; Belize (col. 1942)]",110844 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4e8082e7-d2bf-4b1e-893a-be225e4481f1,Frank Edwin Egler,Egler,Egler,F. E. Egler,"Egler, Frank Edwin",United States of America,"Belize, Guatemala, Martinique, United States of America",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors E-H,,E. L. Nielsen & F. E. Egler,,1911,1997,,,,,,,,,,,,
Eguiluz Piedra Teobaldo,,,147180 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f06918f4-98e4-4d9e-a764-182604de013e,Piedra Teobaldo Eguiluz,Eguiluz,Eguiluz,Eguiluz,Eguiluz Piedra Teobaldo,Guatemala,Guatemala,Spermatophytes,,Revisita Ci. Forest. 8: 4. 1983,1983. Revista Ci. Forest 8:3-22,,Eguiluz & J. P. Perry,Eguiluz & J. P. Perry,,,,Search for specimens collected by Eguiluz,1979 (1),,,,,,,,,
