ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,taxon_3_IdeTaxonRef_key,taxon_3_taxon_irn,taxon_3_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/495/648/V0107211F.jpg,2381563,V0107211F,1252646.0,,Acca,sellowiana,,,,1883,1930-09-,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,1.0,213086.0,46117.0,,,,,,,1.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/61/039/V0064886F.jpg,334939,V0064886F,680838.0,,Campomanesia,malifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,2.0,841.0,13819.0,,,,,,,2.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/61/038/V0064885F.jpg,334940,V0064885F,936934.0,,Campomanesia,malifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,3.0,841.0,13819.0,,,,,,,3.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/56/960/V0060647F.jpg,333151,V0060647F,864931.0,,Gunnera,herteri,,,,1523,1931-11-,,,27780,,,,,Fortaleza Santa Teresa,Uruguay,Rocha,,,,,,624353,4.0,115274.0,34959.0,,,,,,,4.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/225/603/V0072496F.jpg,253922,V0072496F,586562.0,,Gratiola,uruguayensis,,,,1062,1926-12-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,5.0,34393.0,104646.0,,,,,,,5.0,42758.0,John W. Thieret,J. W. Thieret,John,William,Thieret,Person,Botany Master,ASA Botanist ID 170369,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,236472,,,,Solanum,commeronii,,,,,1767,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,6.0,73007.0,104801.0,,,,,,,6.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/293/472/6774.jpg,236709,,,,Solanum,isabelli,,,,,1838,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,7.0,73280.0,104801.0,,,,,,,7.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,236710,,,,Solanum,isabelli,,,,,1828,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,8.0,73280.0,104801.0,,,,,,,8.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/36/395/3927.jpg,237467,,,,Spigelia,scabra,,,,1477,,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,9.0,74451.0,95610.0,,,,,,,9.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,219180,,,,Jacobinia,suberecta,,,,,1899,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,10.0,40117.0,83428.0,,,,,,,10.0,26643.0,Édouard-François André,Ed. André,Édouard-François,,André,Person,Botany Master,ASA Botanist ID 101709,,E. André,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,220424,,,,Lepidium,setipetalum,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,11.0,42210.0,42162.0,,,,,,,11.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/1624/789/27317.jpg,220394,,,,Lepidium,calycinum,,,,,1838,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,12.0,42172.0,42162.0,,,,,,,12.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,237346,,,,Spergularia,grandis,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,13.0,74173.0,86520.0,,,,,,,13.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,246431,,,,Cerastium,commersonianum,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,14.0,16388.0,16381.0,,,,,,,14.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/1933/812/34609.jpg,245330,,,,Cardamine,chenopodifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,15.0,14290.0,210250.0,,,,,,,15.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/26/438/10010.jpg,226022,,,,Nothoscordum,gaudichaudianum,,,,,1841,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,16.0,52311.0,206525.0,,,,,,,16.0,20945.0,Charles Gaudichaud-Beaupré,C. Gaudichaud,Charles,,Gaudichaud-Beaupré,Person,Botany Master,ASA Botanist ID 101317,,"C. Gaudichaud-Beaupres
M. Gaudichaud [Monsieur]",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/27/390/11082.jpg,244957,,,,Calydorea,azurae,,,,,1875-04-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,17.0,13610.0,283422.0,,,,,,,17.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/36/211/2920.jpg,210715,,,,Desmodium,ramosissimum,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,18.0,24381.0,90125.0,,,,,,,18.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/36/576/11084.jpg,244959,,,,Calydorea,nuda,,,,560,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,19.0,13612.0,283422.0,,,,,,,19.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/32/791/17452.jpg,241180,,,,Verbena,teucrioides,,platensis,Variety,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,20.0,80897.0,414529.0,,,,,,,20.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,http://fm-digital-assets.fieldmuseum.org/26/442/10014.jpg,226025,,,,Nothoscordum,sellowianum,,,,469,1836,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,21.0,52314.0,206525.0,,,,,,,21.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,http://fm-digital-assets.fieldmuseum.org/24/021/2234.jpg,246540,,,,Adesmia,uruguaya,,,,,1900-01-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,22.0,2567.0,89896.0,,,,,,,22.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,http://fm-digital-assets.fieldmuseum.org/24/124/2343.jpg,241656,,,,Vicia,nana,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,23.0,81527.0,90616.0,,,,,,,23.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,http://fm-digital-assets.fieldmuseum.org/34/639/5843.jpg,234498,,,,Scutia,buxifolia,,,,846,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,24.0,69966.0,69963.0,,,,,,,24.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,http://fm-digital-assets.fieldmuseum.org/32/773/17432.jpg,241141,,,,Verbena,montevidensis,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,25.0,80852.0,109037.0,,,,,,,25.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,http://fm-digital-assets.fieldmuseum.org/36/633/11565.jpg,211854,,,,Echinodorus,aschersonianus,,,,3249,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,26.0,26746.0,84006.0,,,,,,,26.0,22587.0,Cornelius Osten,C. Osten,Cornelius,,Osten,Person,Botany Master,ASA Botanist ID 102715,,Corn. Osten,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,http://fm-digital-assets.fieldmuseum.org/27/219/10876.jpg,236082,,,,Sisyrinchium,aurantiacum,,,,1101,1877-09-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,27.0,72410.0,72406.0,,,,,,,27.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,http://fm-digital-assets.fieldmuseum.org/23/309/1466.jpg,231317,,,,Prosopis,nandubey,,,,897,1877-03-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,28.0,63442.0,90479.0,,,,,,,28.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,http://fm-digital-assets.fieldmuseum.org/24/135/2355.jpg,219988,,,,Lathyrus,linearifolius,,,,2318,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,29.0,41614.0,90285.0,,,,,,,29.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,http://fm-digital-assets.fieldmuseum.org/23/828/2011.jpg,221464,,,,Lupinus,tenuifolius,,,,,1900-10-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,30.0,44388.0,90308.0,,,,,,,30.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,http://fm-digital-assets.fieldmuseum.org/27/171/10818.jpg,228476,,,,Peperomia,niederleinii,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,31.0,57193.0,56868.0,,,,,,,31.0,35489.0,Gustavo Niederlein,G. Niederlein,Gustavo,,Niederlein,Person,Botany Master,,,G. Niederlein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,http://fm-digital-assets.fieldmuseum.org/27/919/11708.jpg,214532,,,,Ficus,lorentzii,,,,735,1878-11-28,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,32.0,31740.0,97324.0,,,,,,,32.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,http://fm-digital-assets.fieldmuseum.org/24/809/3210.jpg,211849,,,,Alternanthera,echinata,,,,551,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,33.0,3812.0,84023.0,,,,,,,33.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,http://fm-digital-assets.fieldmuseum.org/26/440/10012.jpg,226023,,,,Nothoscordum,macrostemon,,,,,1836,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,34.0,52312.0,206525.0,,,,,,,34.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,http://fm-digital-assets.fieldmuseum.org/29/138/13002.jpg,230867,,,,Polygala,australis,,,,1062,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,35.0,62306.0,101036.0,,,,,,,35.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,http://fm-digital-assets.fieldmuseum.org/23/985/2193.jpg,245807,,,,Adesmia,glutinosa,,,,,1900-12-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,36.0,2499.0,89896.0,,,,,,,36.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,http://fm-digital-assets.fieldmuseum.org/23/212/1364.jpg,224346,,,,Mimosa,reptans,,,,331,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,37.0,49480.0,90337.0,,,,,,,37.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,http://fm-digital-assets.fieldmuseum.org/894/152/V0261410F.jpg,3011182,V0261410F,1012083.0,,Galium,noxium,valantioides,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,38.0,569157.0,569155.0,,,,,,,38.0,189939.0,C. Fruchard,C. Fruchard,C.,,Fruchard,Person,Botany Master,ASA Botanist ID 119679,,M. (Monsieur) Fruchard,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,http://fm-digital-assets.fieldmuseum.org/134/724/V0040921F.jpg,253205,V0040921F,970352.0,,Galium,ericoides,,,,s.n.,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,39.0,32495.0,32476.0,,,,,,,39.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,http://fm-digital-assets.fieldmuseum.org/975/911/BUDD_budd_thyr_1717592.jpg,3113300,,1717592.0,,Buddleja,thyrsoides,angusticarpa,,,2728,1902-10-17,,1902-10-17,233711,100.0,,328.0,,,Uruguay,Artigas,,,,,,624344,40.0,552363.0,11820.0,,,,,,,40.0,55589.0,Mariano B. Berro,M. B. Berro,Mariano,B.,Berro,Person,Botany Master,ASA Botanist ID 147441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,243870,,,,Buddleja,thyrsoides,,,,s.n.,1767,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,41.0,11820.0,95601.0,,,,,,,41.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,http://fm-digital-assets.fieldmuseum.org/58/381/V0062161F.jpg,346550,V0062161F,976496.0,,Buddleja,thyrsoides,,,,s.n.,,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,42.0,11820.0,95601.0,,,,,,,42.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,346648,,648525.0,,Spigelia,scabra,,,,1477,,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,43.0,74451.0,95610.0,,,,,,,43.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,222002,,,,Malva,capitata,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,44.0,112139.0,285063.0,45.0,45613.0,95863.0,,,,44.0,697.0,Luis Née,L. Née,Luis,,Née,Person,Botany Master,ASA Botanist ID 149848,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,http://fm-digital-assets.fieldmuseum.org/57/438/V0061204F.jpg,346159,V0061204F,977084.0,,Salvia,rosmarinoides,,,,2640,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,46.0,115899.0,94249.0,,,,,,,45.0,16474.0,Auguste F. C. P. Saint-Hilaire,A. Saint-Hilaire,Auguste,Francois César Prouvencal,Saint-Hilaire,Person,Botany Master,ASA Botanist ID 100781,,A. St.-Hilaire,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,http://fm-digital-assets.fieldmuseum.org/1062/166/C0658918F.jpg,3314268,C0658918F,,,Lycopodium,alopecuroides,,,,,,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,47.0,384994.0,95794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,167814,,,,Erythroxylum,myrsinites,,,,277,,,,233709,,,,,,Uruguay,,,,,,,18049,48.0,28658.0,89651.0,,,,,,,46.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,167822,,,,Erythroxylum,myrsinites,,,,278,,,,233709,,,,,,Uruguay,,,,,,,18049,49.0,28658.0,89651.0,,,,,,,47.0,47179.0,José Arechavaleta y Balpardo,J. Arechavaleta,José,,Arechavaleta y Balpardo,Person,Botany Master,ASA Botanist ID 135544,,José Arechavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,211408,,,,Discaria,longispina,,foliosa,Variety,1091,1877-09-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,50.0,25746.0,413581.0,,,,,,,48.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,http://fm-digital-assets.fieldmuseum.org/1414/462/32602.jpg,216002,,,,Gouania,ulmifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,51.0,34293.0,34245.0,,,,,,,49.0,45859.0,John Tweedie,J. Tweedie,John,,Tweedie,Person,Botany Master,,,James Tweedie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,http://fm-digital-assets.fieldmuseum.org/221/068/V0067592F.jpg,356273,V0067592F,1368418.0,,Coccoloba,praecox,,,,50852,1949-09-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,52.0,114619.0,19128.0,,,,,,,50.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
